Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20,Friday,3,coffee,Food,Debit
1/20,Friday,3,coffee,Food,Debit
1/20,Friday,6.59,mcdonalds,Food,Debit
1/21,Saturday,12.4,heat protectant,Entertainment and Recreation,Debit
1/22,Sunday,14.23,hair mask,Entertainment and Recreation,Debit
1/23,Monday,2.99,icloud storage,Bills,Debit
1/23,Monday,13.98,sushi,Food,Debit
1/27,Friday,9.99,sushi,Food,Debit
1/27,Friday,45.75,gas,Travel,Debit
1/28,Saturday,420,mean girls tickets,Entertainment and Recreation,Debit
1/30,Monday,6.75,coffee,Food,Debit
1/30,Monday,26,birthday present,Entertainment and Recreation,Debit
2/1,Wednesday,15.35,starbucks ,Food,Debit
2/1,Wednesday,18.67,birthday present,Entertainment and Recreation,Debit
2/2,Thursday,9.99,sandwich,Food,Debit
2/3,Friday,2.5,chicken nuggets,Food,Debit
